group_ID,ecosystem,scoped,package_name,version,artifact_id,total_file,package_size,api_calls,function,threat_type
setuptool_aaa.bbb.ccc_tar-gz,pypi,,setuptool,aaa.bbb.ccc,tar-gz,1,1.010742188,"['datetime.datetime.utcnow', 'platform.platform', 'os.getuid', 'ctypes.windll.shell32.IsUserAnAdmin', 'GET.read', 'urllib.urlencode', 'GET.read']",install,malicious
pyunpack_0.3_py2-py3-none-any-whl,pypi,,pyunpack,0.3,py2-py3-none-any-whl,9,7.15234375,NaN,NaN,benign
cowsay_6.1_py3-none-any-whl,pypi,,cowsay,6.1,py3-none-any-whl,14,95.21484375,NaN,NaN,benign
torchsummary_1.5.1_py3-none-any-whl,pypi,,torchsummary,1.5.1,py3-none-any-whl,6,5.157226563,NaN,NaN,benign
zlibsrc_0.0.1_tar-gz,pypi,,zlibsrc,0.0.1,tar-gz,10,1.887695313,['threading.Thread.start'],init,malicious
torchsummary_1.5.1_tar-gz,pypi,,torchsummary,1.5.1,tar-gz,10,12.82519531,NaN,NaN,benign
durationpy_0.5_tar-gz,pypi,,durationpy,0.5,tar-gz,5,4.481445313,NaN,NaN,benign
requests-sigv4_0.1.6_tar-gz,pypi,,requests-sigv4,0.1.6,tar-gz,15,15.41699219,NaN,NaN,benign
libpeshka_0.3_tar-gz,pypi,,libpeshka,0.3,tar-gz,12,3.704101563,"['platform.system', 'urllib2.urlopen.read', 'requests.get', 'os.path.expanduser', 'os.chdir', 'open', 'open.write', 'open.close', 'os.stat', 'os.chmod', 'open', 'open.write', 'open.close', 'os.system', 'exit']",rn,malicious
requests-sigv4_0.1.6_py3-none-any-whl,pypi,,requests-sigv4,0.1.6,py3-none-any-whl,8,12.18066406,NaN,NaN,benign
contexttimer_0.3.3_tar-gz,pypi,,contexttimer,0.3.3,tar-gz,10,21.4296875,NaN,NaN,benign
delta_0.4.2_tar-gz,pypi,,delta,0.4.2,tar-gz,10,21.0625,NaN,NaN,benign
libpeshka_0.2_tar-gz,pypi,,libpeshka,0.2,tar-gz,12,3.290039063,"['platform.system', 'urllib2.urlopen.read', 'requests.get', 'os.path.expanduser', 'os.chdir', 'open', 'open.write', 'open.close', 'os.stat', 'os.chmod', 'open', 'open.write', 'open.close', 'os.system', 'exit']",rn,malicious
stups-cli-support_1.1.22_tar-gz,pypi,,stups-cli-support,1.1.22,tar-gz,15,14.61328125,NaN,NaN,benign
stups-cli-support_1.1.22_py3-none-any-whl,pypi,,stups-cli-support,1.1.22,py3-none-any-whl,9,7.963867188,NaN,NaN,benign
databricks-api_0.9.0_py3-none-any-whl,pypi,,databricks-api,0.9.0,py3-none-any-whl,10,23.02832031,NaN,NaN,benign
libpeshka_0.4_tar-gz,pypi,,libpeshka,0.4,tar-gz,12,3.91796875,"['platform.system', 'urllib2.urlopen.read', 'requests.get', 'os.path.expanduser', 'os.chdir', 'open', 'open.write', 'open.close', 'os.stat', 'os.chmod', 'open', 'open.write', 'open.close', 'os.system', 'exit']",rn,malicious
databricks-api_0.9.0_tar-gz,pypi,,databricks-api,0.9.0,tar-gz,10,39.3984375,NaN,NaN,benign
types-backports_0.1.3_tar-gz,pypi,,types-backports,0.1.3,tar-gz,10,3.6171875,NaN,NaN,benign
types-backports_0.1.3_py2-py3-none-any-whl,pypi,,types-backports,0.1.3,py2-py3-none-any-whl,7,1.7734375,NaN,NaN,benign
libpeshka_0.6_tar-gz,pypi,,libpeshka,0.6,tar-gz,12,4.045898438,"['platform.system', 'urllib2.urlopen.read', 'requests.get', 'os.path.expanduser', 'os.chdir', 'open', 'open.write', 'open.close', 'os.stat', 'os.chmod', 'open', 'open.write', 'open.close', 'os.system', 'exit']",rn,malicious
opentelemetry-propagator-gcp_1.6.0_tar-gz,pypi,,opentelemetry-propagator-gcp,1.6.0,tar-gz,18,41.14355469,NaN,NaN,benign
opentelemetry-propagator-gcp_1.6.0_py3-none-any-whl,pypi,,opentelemetry-propagator-gcp,1.6.0,py3-none-any-whl,9,20.90820313,NaN,NaN,benign
junit-xml_1.9_tar-gz,pypi,,junit-xml,1.9,tar-gz,13,28.37792969,NaN,NaN,benign
libpeshka_0.5_tar-gz,pypi,,libpeshka,0.5,tar-gz,12,3.985351563,"['platform.system', 'urllib2.urlopen.read', 'requests.get', 'os.path.expanduser', 'os.chdir', 'open', 'open.write', 'open.close', 'os.stat', 'os.chmod', 'open', 'open.write', 'open.close', 'os.system', 'exit']",rn,malicious
junit-xml_1.9_py2-py3-none-any-whl,pypi,,junit-xml,1.9,py2-py3-none-any-whl,6,21.45996094,NaN,NaN,benign
appnope_0.1.3_py2-py3-none-any-whl,pypi,,appnope,0.1.3,py2-py3-none-any-whl,8,7.778320313,NaN,NaN,benign
appnope_0.1.3_tar-gz,pypi,,appnope,0.1.3,tar-gz,13,10.92578125,NaN,NaN,benign
aiohttp_proxies_0.8.38_tar-gz,pypi,,aiohttp_proxies,0.8.38,tar-gz,13,1125.591797,['random.choice'],rand,malicious
agate-dbf_0.2.2_tar-gz,pypi,,agate-dbf,0.2.2,tar-gz,14,9.509765625,NaN,NaN,benign
agate-dbf_0.2.2_py2-py3-none-any-whl,pypi,,agate-dbf,0.2.2,py2-py3-none-any-whl,8,4.845703125,NaN,NaN,benign
evergreen-lint_0.1.4_tar-gz,pypi,,evergreen-lint,0.1.4,tar-gz,16,48.89746094,NaN,NaN,benign
